;name;desc;imgUrl;price;rating;storeName
0;hp samsung e1272 termurah original jadul samsung lipat dual sim - Hitam;"Samsung dual card dual standby ponsel flip 1272
Untuk persyaratan warna, harap sertakan dalam instruksi pembelian
Jika tidak, kami akan mengirimkannya secara acak.
Barang yang diterima memiliki garansi toko satu bulan.
Garansi, tidak termasuk charger, baterai, kotak
Dan kerusakan yang disebabkan oleh operasi yang salah
Kami telah memeriksa sebelum pengiriman
Paket termasuk:
1 * ponsel
1 * pengisi daya
1 * baterai
1 * Manual
1 kotak
Umur simpan: 1 bulan
teknologi jaringan
Global
Dirilis pada kuartal keempat tahun 2013
Status yang tersedia. Dirilis pada kuartal keempat tahun 2013
Ukuran tubuh 95 x 46,5 x 18 mm (3,74 x 1,83 x 0,71 inci)
Berat 82,9 gram (2,93 ons)
Kartu SIM ganda (STANDAR-SIM, siaga ganda)
Jenis tampilan TFT, 65 ribu warna
Ukuran 1,77 inci, 9,9 sentimeter persegi (rasio layar-ke-tubuh sekitar 22,3%)
Resolusi 128 x 160 piksel (~ kepadatan 116 ppi)
Platform CPU 208MHz
Slot kartu MEMORY No
Buku telepon
Laporan panggilan
Internal 32MB, 64MB
Nomor kamera
Suara getaran, nada dering MP3
terompet
Jack 3,5 mm Ya
Komunikasi LAN nirkabel
Bluetooth
nomor GPS
Radio FM radio
USB mikro USB
fungsi SMS
Peramban
Nomor permainan
Jawa
Aplikasi sosial
Pemutar mp3
Penampil foto
";https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/10/3/270c88ea-ad0e-47d1-a099-9638bc84d220.jpg.webp?ect=3g;153500;4.6;Little Master.shop
1;nokia jadul 105 dual sim 2017 - Hitam;"Detail produk dari NOKIA 105 DUAL SIM (TA-1174)
Nokia 105 Dual SIM 2017 Handphone [Garansi Resmi] merupakan handphone Nokia yang didesain klasik dan ergonomis. Waktu bicara hingga 15 jam dan dan satu bulan dalam kondisi siaga. Ukuran layar QVGA 1.8 Inch untuk tampilan yang lebih baik. Island keymat untuk pengiriman teks dan panggilan yang lebih mudah. Dengan bodi melengkung- ergonomis dan tata letak island key untuk panggilan cepat dan SMS- Nokia 105 memberi Anda nuansa ponsel berkualitas tinggi dan kokoh yang ada di telapak tangan Anda. Nokia 105 disiapkan untuk menghadapi cuaca apa pun yang ada pada hari ini- dengan selubung polikarbonat yang membuat warnanya tetap menyala. Di tambah lagi- dilengkapi dengan senter bawaan dan permainan yang sudah diisikan di antaranya Snake Xenzia yang klasik.
#nokia105dualsim#nokiajadul#nokiadualsimnew
";https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/12/10/a37466e2-c18b-446e-b98d-1e62db0961d2.jpg.webp?ect=4g;119000;4.8;Kkeep
2;OPPO F5 4/64GB TERPERCAYA GARANSI 1TAHUN - 4/64GB, BLACK;"**BUDAYAKAN MEMBACA DESKRIPSI SEBELUM MEMBELI**
[BERGARANSI 12 BULAN]
Syarat claim garansi :
> Hubungi kami dengan menyertakan NOMOR PESANAN, VIDEO UNBOXING
> Sebutkan kendala yang ada dan tunggu respon admin kami terkait solusi untuk kendalanya
> Mohon maaf tidak melayani kendala yang disebabkan oleh HUMAN ERROR
> ACC OEM tidak digaransikan
> BAD REVIEW = GARANSI HANGUS
>  Membeli = SETUJU
** SELAMAT BERBELANJA**
**Spesifikasi OPPO F5
Ukuran Layar : 6.0 inci LTPS IPS LCD , 1080 x 2160 pixels
Chipset : Mediatek MT6763T Helio P23 (16 nm)
OS : Android 7.1.1 (Nougat)
RAM: 6GB
Memori internal : 64GB
Ukuran HP : 156.5 x 76 x 7.5 mm
Berat HP : 152 gram
Kamera depan : 20 MP, f/2.0 (wide)
Kamera belakang : 16 MP, f/1.8
Baterai : Non-removable Li-Ion 3200 mAh
Pilihan Warna : Black, Gold, Red
Tanggal Rilis : November 2017
";https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/24/bd6e74dd-4639-4b6b-9f99-5a89b3f4bdaa.jpg.webp?ect=4g;999000;4.9;Trust Phonestore
3;IPHONE XR SECOND - Red, 64 gb;"SELAMAT DATANG DI Sun  MOBILE
Harap Menanyakan Stok Terlebih dahulu
Unit batangan, jika fullset bisa tambah kotak dus dipemesanan
BACA DESKRIPSI SEBELUM MEMBELI
* Kondisi Mulus 90-95%
* LCD ORIGINAL
* Dapat diakses SEMUA PROVIDER (Pakai Kartu Jaringan Apa saja)
* Dapat menggunakan iCloud (Hanya perlu Login Apple ID)
* Battery Health tidak bisa request karena stok kami banyak dan BH random tapi dapat dipastikan Battery Health 85% ke atas
* Bebas direset 
* Skor 3utool hijau semua
*Sebelum dikirim kami akan melakukan QC (Quality check ) untuk mengurangi resiko retur 
GARANSI TOKO  1 MINGGU
Garansi tidak berlaku (*void*) jika :
* Terkena cairan
* Segel Rusak/Hilang
* Unit bekas jatuh (human error)
* Barang yang dikirim harus dalam keadaan fisik bagus seperti yang diterima 
* Ongkos kirim & Retur ditanggung pembeli
* Dll yang disebabkan Kelalaian Pengguna
";https://images.tokopedia.net/img/cache/500-square/VqbcmM/2020/9/11/9be8a620-b383-4353-beed-db692d26b942.jpg.webp?ect=4g;4750000;4.9;sun mobile
4;iPhone 13 Pro Max 128GB 256GB 512GB 1TB Garansi Resmi IBOX - Sierra Blue, 128GB;"MARKAS APPLE
Markas apple memberikan solusi untuk anda yang sedang mencari gadget dengan harga terjangkau.
Jangan Ragu beli di Markas Apple!
- Garansi Resmi iBox Indonesia
- 100% Original Apple
- Segel Greenpeel & BNIB
- Garansi Apple 1 Tahun
- Garansi Ganti Unit 7 Hari Diluar Human Error
- IMEI Terdaftar di Kemenprin
Spesifikasi :
Super Retina XDR OLED, 120Hz
6.7 inches, Resolution 1284 x 2778 pixels
iOS 15
Chipset Apple A15 Bionic (5 nm) CPU Hexa-core (2 + 4)
GPU Apple GPU (5-core graphics)
Main Camera
12 MP, f/1.5, 26mm (wide)
12 MP, f/2.8, 77mm (telephoto)
12 MP, f/1.8, 13mm, 120˚ (ultrawide)
TOF 3D LiDAR scanner (depth)
Selfie Camera Dual 12 MP, f/2.2, 23mm (wide)
Li-Ion, non-removable
Charging Fast charging 20W
KENAPA HARUS BELANJA DI MARKAS APPLE?!
- Aman dan Terpercaya
- Packing di jamin Aman dengan bubble warp tebal
- Produk yang kami jual adalah produk resmi dan bergaransi nasional & international
- Barang New BNIB SEGEL, Bukan replika2an
- kami memberikan garansi ganti unit selama 1 hari dengan catatan diluar human error dan terdapat lampiran video unboxing.
- Kami memiliki Aftersales yang profesional dan kooperatif, jadi tidak akan kesulitan untuk claim return
- Khusus untuk garansi international claim juga bisa di indonesia (kecuali ibox), atau bisa lewat kami langsung. dengan catatan diluar Human Error
";https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/19/79dbeb83-6a0b-4f4c-b7c3-346af240bd69.jpg.webp?ect=4g;21499000;4.8;MARKAS APPLE
5;Iphone 11 128GB Garansi Resmi TAM / Ibox - purple, 64 New Packed;"Tempered Glass iphone series
https://tokopedia.link/j6yieGEoKlb
untuk Harga yg dicantum :
Harga Promo Dan kuota
yg Diberikan Terbatas. Mohon Konfirmasi Sebelum Check Out
Untuk Kapasitas
64 , 128 ,256
Hanya Nama Produk Iphone 11 128
Varian gb dan warna silahkan diklik
New pack / Slim Pack
(Unit dan Kabel)
100% Garansi resmi
100% Baru dan asli
100% Segel asli greenpeel ( no repack)
RESMI IMEI terdaftar di kemenperin / kominfo
(cek Imei: http://kemenperin•go•id/imei/ )
Berlaku claim di semua service centre ibox 
Imei belum aktif / Fresh unit 
Operasional 11.00 - 19.00
- setiap pembelian iphone, bila sudah terkoneksi wifi/sudah di aktifkan dibantu ke apple resminya bila ada kendala, karena itu sudah ketentuan dari apple resminya.
Case Premium iphone 11
https://www.tokopedia.com/sonic-phone101/case-premium-iphone-11?utm_source=Android&
amp;utm_medium=Share&utm_campaign=Product%20Share
air pods pro Garansi Resmi
https://tokopedia.link/iDujiVpqWab
Tambahkan AirPods Gen 2:
https://www.tokopedia.com/sonic-phone101/apple-airpods-with-charging-case-generasi-ke-2-garansi-ibox
Tambahkan AirPods Pro:
https://www.tokopedia.com/sonic-phone101/apple-airpods-pro-garansi-ibox
Tambahkan Lamina Tempered Glass:
https://www.tokopedia.com/sonic-phone101/lamina-tempered-glass-premium-iphone
Tambahkan Anti Gores Hydrogel:
https://www.tokopedia.com/sonic-phone101/anti-gores-hydro-gel-rock-space-all-type
";https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/2/4173dc21-75e3-4691-8574-c1e38cf0819b.png.webp?ect=4g;10499000;5.0;PT Pratama Sntra Semesta
6;XIAOMI POCO F3 8/256GB NFC Snapdragon™ 870 48MP 4520mAh HP Android - Deep Ocean Blue;"Xiaomi Official Store Garansi Resmi
POCO F3 memiliki fitur prosesor yang kuat, penyimpanan secepat kilat, layar AMOLED dengan refresh rate tinggi yang baru, dan itu baru permulaan.
POCO F3 memiliki prosesor Snapdragon™ 870 kinerja telah ditingkatkan secara masif.
POCO F3 meggunanakan teknologi i LiquidCool  1.0 plus. 
POCO F3 memiliki baterain besar 4520mAh, isi daya hingga 100% dalam 52 menit dengan pengisian cepat 33W. 
POCO F3 memiliki kecepatan refresh rate hingga 120 frame per detik. 
POCO F3 dilengkapi pelindung dua sisi Corning Gorilla Glass 5 dan bingkai logam yang kokoh, memberikan tampilan dan nuansa yang halus pada ponsel ini. 
warranty 15 months 
Spesifikasi
Penyimpanan & RAM
6GB+128GB, 8GB + 256GB
RAM LPDDR5 + PENYIMPANAN UFS 3.1
Layar
6,67” AMOLED DotDisplay
2400x1080 FHD+
Rasio aspek: 20:9
Rasio kontras: 5.000.000:1
Kecerahan: 900nits (HBM umum), 1300nits (puncak)
HDR10+
Refresh rate: 120Hz
Touch sampling rate: 360Hz
Sunlight display 3.0
360° Ambient Light Sensor
Corning® Gorilla® Glass 5
Mendukung MEMC
SGS Eye Care Display
SGS Seamless Pro 120Hz
Jaringan Nirkabel
Bluetooth 5.1
Wi-FI 6
Navigasi & Pemosisian
GPS: L1+L5
Galileo: E1+E5a | GLONASS: G1 | Beidou: B1I+B2a | Navic
Video
Mendukung tampilan HDR saat memutar konten video HDR10
• Motor getaran
Motor linear sumbu-x
Sensor
Sensor jarak | Sensor cahaya ambien | Akselerometer | Giroskop | Kompas elektronik | Motor linear | IR Blaster
Sistem operasi
MIUI 12 untuk POCO
";https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/8/12/b75970a8-0b10-4349-80dd-031becbd5b5d.png.webp?ect=4g;5499000;4.9;Xiaomi Official Store
7;SAMSUNG GALAXY A32 5G - NFC - 8GB 128GB 8/128 GARANSI RESMI - Awesome Black;"SAMSUNG GALAXY A32 5G 8/128GB
GARANSI RESMI SEIN SAMSUNG INDONESIA
IMEI TERDAFTAR DI WEBSITE KEMENPERIN
WARNA TERSEDIA SESUAI VARIAN
- Awesome Black
- Awesome White
Spesifikasi :
NETWORK	Technology	
GSM / CDMA / HSPA / LTE / 5G
LAUNCH	Announced	2021, January 13
Status	Available. Released 2021, January 22
BODY	Dimensions	164.2 x 76.1 x 9.1 mm (6.46 x 3.00 x 0.36 in)
Weight	205 g (7.23 oz)
SIM	Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)
DISPLAY	Type	TFT
Size	6.5 inches, 102.0 cm2 (~81.6% screen-to-body ratio)
Resolution	720 x 1600 pixels, 20:9 ratio (~270 ppi density)
PLATFORM	OS	Android 11, One UI 3.0
Chipset	MediaTek MT6853 Dimensity 720 5G (7 nm)
CPU	Octa-core (2x2.0 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55)
GPU	Mali-G57 MC3
MEMORY	Card slot	microSDXC (uses shared SIM slot)
Internal	64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM
MAIN CAMERA	Quad	48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF
8 MP, f/2.2, 123˚, (ultrawide), 1/4.0"", 1.12µm
5 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)
Features	LED flash, panorama, HDR
Video	4K@30fps, 1080p@30/120fps
SELFIE CAMERA	Single	13 MP, f/2.2, (wide)
Video	1080p@30fps
SOUND	Loudspeaker	Yes
3.5mm jack	Yes
COMMS	WLAN	Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot
Bluetooth	5.0, A2DP, LE
GPS	Yes, with A-GPS, GLONASS, GALILEO, BDS
NFC	Yes (market/region dependent)
Radio	Unspecified
USB	USB Type-C 2.0, USB On-The-Go
FEATURES	Sensors	Fingerprint (side-mounted), accelerometer, gyro, proximity, compass
BATTERY	Type	Li-Ion 5000 mAh, non-removable
Charging	Fast charging 15W
MISC	Colors	Awesome Black, Awesome White, Awesome Blue, Awesome Violet
";https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/6/7/6c8e3369-cb6a-4618-a30c-c876cb9ceec1.jpg.webp?ect=4g;3749900;4.9;Shopyz ID
8;SAMSUNG GALAXY M32 - NFC - 5000mAh - 6GB 128GB 6/128 - Garansi Resmi - Hitam;"SAMSUNG GALAXY M32 6/128GB
GARANSI RESMI SEIN SAMSUNG INDONESIA
IMEI TERDAFTAR DI WEBSITE KEMENPERIN
WARNA TERSEDIA SESUAI VARIAN
- HITAM
- BIRU
- PUTIH
Spesifikasi :
NETWORK	Technology	
GSM / HSPA / LTE
LAUNCH	Announced	2021, June 21
Status	Available. Released 2021, June 28
BODY	Dimensions	159.3 x 74 x 8.4 mm
Weight	180 g
Build	Glass front, plastic frame, plastic back
SIM	Dual SIM (Nano-SIM, dual stand-by)
DISPLAY	Type	Super AMOLED, 90Hz, 800 nits (HBM)
Size	6.4 inches, 98.9 cm2 (~83.9% screen-to-body ratio)
Resolution	1080 x 2400 pixels, 20:9 ratio (~411 ppi density)
PLATFORM	OS	Android 11, One UI 3.1
Chipset	Mediatek Helio G80 (12 nm)
CPU	Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55)
GPU	Mali-G52 MC2
MEMORY	Card slot	microSDXC (dedicated slot)
Internal 128GB, 8GB RAM
 	eMMC 5.1
MAIN CAMERA	Quad	64 MP, f/1.8, 26mm (wide), 1/1.97"", 0.7µm, PDAF
8 MP, f/2.2, 123˚, (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)
Features	LED flash, panorama, HDR
Video	1080p@30fps
SELFIE CAMERA	Single	20 MP, f/2.2, (wide)
Video	1080p@30fps
SOUND	Loudspeaker	Yes
3.5mm jack	Yes
COMMS	WLAN	Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot
Bluetooth	5.0, A2DP, LE
GPS	 Yes, with A-GPS, GLONASS, BDS, GALILEO
NFC 	Yes
Radio	Unspecified
USB	USB Type-C 2.0, USB On-The-Go
FEATURES	Sensors	Fingerprint (side-mounted), accelerometer, gyro, compass
 	Virtual proximity sensing
BATTERY	Type	Li-Ion 5000 mAh, non-removable
Charging Fast charging 25W
";https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/7/29/96748ddc-68de-423e-b34b-78818ea0b715.jpg.webp?ect=4g;2799900;4.9;Shopyz ID
9;XIAOMI Mi POCO X3 Pro 6/128GB NFC Snapdragon™ 860 48MP 5160mAh - Metal Bronze;"Xiaomi Official Store Garansi Resmi
POCO X3 Pro memiliki teknologi memori UFS 3.1 yang ditingkatkan, POCO X3 Pro menawarkan kecepatan baca dan tulis yang tajam. 
POCO X3 Pro menggunakan Teknologi LiquidCool 1.0 Plus.
POCO X3 Pro memiliki Rasio refresh rate 120Hz. Pada refresh rate layar tinggi 120Hz, kamu tidak akan pernah tertinggal. Nikmati gerakan lancar yang mulus dalam game penuh aksi dan tetap menjadi yang terdepan dalam persaingan.
POCO X3 Pro dilengkapi dengan Corning® Gorilla® Glass 6 Tahan jatuh dari ketinggian hingga 1,6m ke permukaan yang keras dan kasar. Peningkatan ketahanan gores Peningkatan hingga 2x dibandingkan dengan aluminosilikat alternatif*.
POCO X3 Pro memiliki Baterai 5160mAh. 11 jam bermain game, 18 jam perekaman video, 110 jam pemutaran musik*. Pengisian daya cepat 33W Dengan pengisian daya cepat 33W, POCO X3 Pro dapat dihidupkan dengan cepat, memastikan bahwa kamu selalu siap sedia. Jangan biarkan pengisian daya yang lambat memperlambat kamu! 30 menit untuk isi daya hingga 59%, 50 menit untuk isi daya hingga 100%.
POCO X3 Pro juga dilengkapi dengan NFC*, IR Blaster, IP53, 3,5mm headphone jack.
Spesifikasi
Penyimpanan & RAM
6+128GB/ 8+256GB
LPDDR4X+UFS 3.1
*Penyimpanan dan RAM yang tersedia lebih sedikit dari total memori dikarenakan penyimpanan operasi sistem dan pra-instal software di perangkat.
*Konfigurasi yang tersedia bervariasi antar daerah.
Dimensi
Tinggi: 165,3 mm
Lebar: 76,8 mm
Ketebalan: 9,4 mm
Berat: 215g
Kamera Depan
20MP kamera depan dalam layar f/2.2 1,6μm piksel besar (4-in-1)
Fitur Video & Fotografi
Mode malam
Dual video
Jaringan Nirkabel
Wi-Fi 5
Mendukung 2,4GHz Wi-Fi/5GHz Wi-Fi
Bluetooth 5.0
Sensor
Sensor jarak | Sensor cahaya sekitar | Akselerometer | Giroskop | Kompas elektronik | Motor getaran | IR blaster
Sistem operasi
MIUI 12 berbasis POCO
Isi Paket Pembelian
POCO X3 Pro
Adaptor 
Kabel USB Tipe-C
Alat SIM Ejektor
Case Pelindung
Panduan Pengguna
Kartu Garansi
";https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/8/2/dd207cce-3475-497c-9a8c-3ba8e382d722.png.webp?ect=4g;3499000;4.9;Xiaomi Official Store
